         55393 function calls (53117 primitive calls) in 10.407 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       44    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       44    0.000    0.000    0.000    0.000 _inspect.py:15(ismethod)
       44    0.000    0.000    0.000    0.000 _inspect.py:28(isfunction)
       44    0.000    0.000    0.001    0.000 _inspect.py:98(getargspec)
       44    0.000    0.000    0.002    0.000 core.py:146(get_object_signature)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       42    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       42    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       40    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
       40    0.000    0.000    0.000    0.000 enum.py:20(_is_descriptor)
       40    0.000    0.000    0.000    0.000 enum.py:630(<lambda>)
       39    0.001    0.000    0.001    0.000 _inspect.py:142(formatargspec)
       39    0.000    0.000    0.000    0.000 _inspect.py:43(iscode)
       39    0.000    0.000    0.000    0.000 _inspect.py:67(getargs)
    39/18    0.002    0.000    0.008    0.000 sre_parse.py:470(_parse)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
       36    0.000    0.000    0.000    0.000 {method 'upper' of 'str' objects}
       36    0.000    0.000    0.000    0.000 getlimits.py:41(<lambda>)
       36    0.000    0.000    0.000    0.000 _add_newdocs.py:6825(<genexpr>)
       36    0.000    0.000    0.000    0.000 _string_helpers.py:16(english_lower)
       36    0.000    0.000    0.000    0.000 sre_compile.py:539(isstring)
       36    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
       35    0.000    0.000    0.000    0.000 datetime.py:262(_check_int_field)
    35/18    0.000    0.000    0.008    0.000 sre_parse.py:407(_parse_sub)
       34    0.000    0.000    0.000    0.000 functools.py:74(wraps)
       32    0.000    0.000    0.000    0.000 _type_aliases.py:68(<genexpr>)
       32    0.000    0.000    0.001    0.000 enum.py:797(__or__)
       32    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
       32    0.000    0.000    0.000    0.000 sre_parse.py:167(__setitem__)
       31    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
       31    0.001    0.000    0.002    0.000 sre_compile.py:250(_optimize_charset)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
       30    0.000    0.000    0.000    0.000 getlimits.py:19(_fr0)
       30    0.000    0.000    0.000    0.000 getlimits.py:27(_fr1)
       30    0.000    0.000    0.000    0.000 getlimits.py:42(<lambda>)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
       30    0.000    0.000    0.000    0.000 _type_aliases.py:238(_add_array_type)
       27    0.000    0.000    0.000    0.000 _add_newdocs.py:6824(<genexpr>)
       27    0.000    0.000    0.000    0.000 pathlib.py:119(<genexpr>)
       27    0.000    0.000    0.000    0.000 pathlib.py:120(<genexpr>)
       27    0.000    0.000    0.000    0.000 core.py:919(__init__)
       26    0.000    0.000    0.002    0.000 core.py:6567(__init__)
       26    0.000    0.000    0.002    0.000 core.py:6572(getdoc)
       25    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       24    0.000    0.000    0.000    0.000 tokenize.py:148(<listcomp>)
       24    0.000    0.000    0.000    0.000 enum.py:874(_power_of_two)
       23    0.000    0.000    0.000    0.000 overrides.py:183(decorator)
       23    0.000    0.000    0.000    0.000 overrides.py:179(array_function_from_dispatcher)
     22/9    0.000    0.000    0.001    0.000 abc.py:196(__subclasscheck__)
       21    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
       21    0.000    0.000    0.000    0.000 {method '__subclasshook__' of 'object' objects}
       21    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
       21    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       21    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       20    0.000    0.000    0.000    0.000 tokenize.py:112(group)
       20    0.000    0.000    0.000    0.000 mixins.py:20(_binary_method)
       19    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       19    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
       19    0.000    0.000    0.001    0.000 _add_newdocs.py:6819(add_newdoc_for_scalar_type)
       19    0.000    0.000    0.020    0.001 re.py:231(compile)
       19    0.000    0.000    0.000    0.000 enum.py:822(_high_bit)
       18    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
       18    0.000    0.000    0.000    0.000 _add_newdocs.py:6784(type_aliases_gen)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
       18    0.000    0.000    0.001    0.000 sre_compile.py:482(_compile_info)
       18    0.000    0.000    0.010    0.001 sre_compile.py:542(_code)
       18    0.000    0.000    0.021    0.001 sre_compile.py:557(compile)
       18    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
